url_length,https,dots,hyphen,at,digits,suspicious_words,ip_address,subdomains,path_length,query_length,special_chars,iframe,forms,label
28,1,1,1,0,0,1,0,2,11,6,2,1,1,0
27,1,2,1,0,0,0,0,1,10,4,2,1,0,0
18,1,3,1,0,1,1,0,2,12,5,1,1,2,0
23,1,1,0,0,0,0,0,2,7,5,3,0,2,0
116,0,9,5,2,3,3,1,2,31,26,6,5,5,1
27,1,2,1,0,1,1,0,1,0,3,2,1,1,0
69,1,4,7,2,15,7,0,2,28,27,13,6,2,1
92,0,7,2,1,9,4,1,5,44,23,5,3,4,1
118,1,8,7,1,5,3,1,3,60,48,10,1,3,1
95,1,9,4,0,3,5,1,5,63,31,5,3,5,1
55,0,6,3,0,5,8,0,6,50,39,12,1,5,1
59,0,3,2,2,7,3,1,3,20,41,6,2,5,1
57,1,2,0,0,1,0,0,2,3,5,0,0,2,0
50,1,3,0,0,3,0,0,2,18,10,1,0,1,0
32,1,2,0,0,1,1,0,2,18,2,3,1,1,0
93,0,5,8,1,10,8,0,5,78,25,4,6,5,1
27,1,1,0,0,2,1,0,2,10,5,3,0,1,0
70,0,3,7,2,7,8,0,3,49,19,11,4,8,1
64,0,9,8,0,3,6,1,5,46,11,7,4,2,1
37,1,1,1,0,1,1,0,1,0,4,0,0,1,0
22,1,3,1,0,1,1,0,2,2,4,1,0,1,0
127,1,4,7,2,3,2,1,3,71,23,15,3,1,1
15,1,2,0,0,3,0,0,1,17,1,1,1,1,0
75,1,6,6,0,8,4,1,4,50,6,6,5,4,1
19,1,3,1,0,2,1,0,2,2,3,1,1,0,0
59,1,2,0,0,3,1,0,2,4,5,3,0,0,0
55,1,2,0,0,1,1,0,2,8,1,1,1,0,0
37,1,2,1,0,2,0,0,2,14,1,3,0,1,0
89,1,8,4,0,11,5,1,3,62,53,6,4,4,1
153,1,8,7,0,2,6,0,5,41,10,15,1,4,1
52,1,2,1,0,2,1,0,1,18,10,1,1,1,0
40,1,2,1,0,3,0,0,2,5,3,1,1,1,0
95,0,3,4,2,14,7,0,4,65,48,14,6,4,1
89,1,10,7,2,6,7,0,3,49,26,5,4,7,1
48,1,3,1,0,1,1,0,1,4,6,2,0,1,0
48,1,1,0,0,1,0,0,1,8,4,3,1,2,0
15,1,2,0,0,1,0,0,1,3,0,1,1,1,0
119,0,5,6,2,13,4,0,2,71,22,6,3,8,1
102,0,5,4,2,14,2,1,6,10,45,11,3,6,1
15,1,1,0,0,0,1,0,1,20,7,3,1,0,0
51,1,6,3,2,9,5,0,5,45,11,9,4,3,1
47,1,3,1,0,0,1,0,1,0,10,1,0,0,0
44,1,3,1,0,1,1,0,1,1,5,1,1,1,0
115,0,4,2,2,13,6,1,2,44,41,11,2,5,1
85,1,8,2,0,2,2,0,2,20,45,7,4,7,1
172,1,4,5,2,9,5,1,4,30,34,10,4,3,1
18,1,2,0,0,1,0,0,2,3,6,0,0,1,0
170,0,5,3,2,8,5,1,3,76,51,8,4,5,1
70,1,7,7,0,9,8,1,4,23,39,9,6,1,1
58,1,3,0,0,3,1,0,2,12,1,2,0,2,0
53,1,3,1,0,2,0,0,2,15,10,3,0,2,0
35,1,1,1,0,0,0,0,2,19,2,1,1,0,0
50,1,7,6,0,5,8,0,2,55,42,14,4,1,1
132,1,7,6,0,9,8,1,3,55,7,14,5,3,1
73,0,9,7,2,8,5,0,5,66,47,14,4,7,1
43,1,2,0,0,2,1,0,1,19,0,2,1,0,0
20,1,1,0,0,0,1,0,2,18,2,3,1,2,0
71,0,7,8,1,4,2,0,4,55,13,13,5,7,1
28,1,2,1,0,2,0,0,1,4,4,3,0,0,0
87,0,10,7,1,8,2,0,5,67,37,9,1,4,1
175,0,5,4,0,8,6,0,5,19,15,6,6,2,1
29,1,2,0,0,1,0,0,1,1,2,2,1,1,0
127,0,9,1,1,13,2,0,3,45,8,14,6,8,1
43,1,1,0,0,0,1,0,2,2,0,2,0,0,0
34,1,1,1,0,3,1,0,1,2,4,3,1,1,0
58,1,1,1,0,0,0,0,2,9,6,3,0,1,0
17,1,2,1,0,3,0,0,2,6,2,0,1,0,0
166,0,7,5,0,5,3,1,5,73,36,13,6,8,1
89,1,10,1,2,2,6,0,4,26,6,5,5,4,1
59,1,3,1,0,1,1,0,1,5,6,3,1,1,0
118,1,10,7,1,6,7,0,4,66,41,11,3,6,1
44,1,2,0,0,1,0,0,1,1,2,3,0,1,0
26,1,3,0,0,1,1,0,2,15,1,1,1,2,0
52,1,2,0,0,2,0,0,2,2,8,1,1,0,0
48,1,3,1,0,3,0,0,2,10,6,1,0,2,0
171,0,10,4,0,8,6,1,5,65,31,6,1,3,1
22,1,2,0,0,3,1,0,2,19,10,3,1,1,0
51,1,2,0,0,2,1,0,2,14,8,2,1,0,0
16,1,3,0,0,2,0,0,1,5,0,0,1,0,0
43,1,2,1,0,0,1,0,1,18,8,1,1,0,0
101,0,7,5,0,6,3,0,4,35,33,4,5,4,1
137,1,9,5,1,12,3,0,3,52,19,3,6,6,1
155,0,9,1,2,15,2,0,4,21,36,7,1,6,1
154,0,3,6,0,15,7,0,6,57,50,4,6,6,1
43,1,3,0,0,0,1,0,2,5,5,2,1,2,0
135,0,9,6,1,2,3,1,3,76,43,12,4,8,1
175,1,3,4,1,12,2,1,3,48,45,3,6,8,1
85,1,3,4,0,6,7,1,3,62,7,13,1,8,1
24,1,2,0,0,1,1,0,2,2,5,0,0,2,0
140,1,6,8,2,14,6,0,5,30,56,11,4,8,1
114,1,5,2,2,5,7,0,2,38,14,15,4,4,1
58,1,3,0,0,1,1,0,2,6,10,3,1,1,0
26,1,2,1,0,2,0,0,2,0,6,0,0,2,0
78,1,7,7,0,8,4,1,3,69,15,13,6,4,1
92,1,10,4,2,2,2,1,2,48,14,7,1,1,1
122,0,3,8,0,3,6,1,3,71,55,8,4,1,1
28,1,1,1,0,0,0,0,2,1,4,1,0,0,0
32,1,2,1,0,0,0,0,1,0,4,3,0,2,0
22,1,3,1,0,3,0,0,1,7,5,3,1,0,0
29,1,2,0,0,1,1,0,1,3,7,3,0,0,0
16,1,3,1,0,1,1,0,1,6,4,2,1,1,0
44,1,1,1,0,3,1,0,1,2,6,3,1,2,0
29,1,3,0,0,3,0,0,1,2,5,0,1,2,0
92,0,7,3,0,5,8,1,2,21,29,5,3,2,1
86,1,9,2,2,8,2,0,6,49,51,3,2,6,1
23,1,1,0,0,0,0,0,1,8,0,2,1,2,0
27,1,1,0,0,0,1,0,1,4,9,2,0,2,0
34,1,3,1,0,3,0,0,1,2,3,3,0,0,0
55,1,3,0,0,2,0,0,2,8,2,2,0,0,0
127,1,3,8,1,10,6,1,3,35,49,11,3,8,1
43,1,3,1,0,2,0,0,2,20,10,2,0,2,0
23,1,3,1,0,2,1,0,2,8,7,3,1,0,0
23,1,3,0,0,3,0,0,2,3,7,1,0,1,0
19,1,2,0,0,2,0,0,1,4,5,0,1,1,0
15,1,2,1,0,1,1,0,2,1,3,3,0,2,0
147,0,7,2,1,5,6,1,3,65,17,14,6,6,1
47,1,2,1,0,2,1,0,1,4,7,1,1,0,0
111,1,3,2,1,4,6,0,3,17,37,4,4,7,1
55,1,3,1,0,2,1,0,2,16,10,1,0,2,0
56,1,1,1,0,0,0,0,2,2,2,0,0,0,0
29,1,3,1,0,2,0,0,2,3,8,0,0,0,0
59,1,3,0,0,2,0,0,2,17,10,0,0,2,0
168,0,5,4,0,2,3,0,6,31,46,14,1,5,1
51,0,3,3,1,5,3,0,6,50,12,14,5,2,1
61,1,8,8,0,15,8,1,3,33,5,6,3,4,1
177,1,3,3,1,3,6,0,3,68,38,11,2,6,1
42,1,1,1,0,0,1,0,2,18,6,2,1,1,0
59,1,1,1,0,1,0,0,1,3,2,2,1,0,0
74,1,5,7,2,7,3,0,2,70,53,15,2,4,1
139,0,4,1,2,13,5,0,6,73,30,3,5,8,1
98,0,9,1,2,9,7,0,2,39,17,11,3,8,1
59,1,1,1,0,2,1,0,2,1,2,3,1,0,0
19,1,1,0,0,3,0,0,1,2,4,0,1,2,0
73,0,10,2,0,15,6,1,5,25,21,3,1,2,1
22,1,3,0,0,2,1,0,1,11,0,3,1,1,0
137,0,4,4,0,10,4,0,5,66,52,11,6,2,1
52,1,2,1,0,0,0,0,1,1,3,1,1,2,0
91,1,9,6,1,9,5,0,3,79,33,6,3,8,1
69,0,6,2,2,6,4,1,6,28,7,13,4,2,1
71,0,6,2,2,13,8,1,2,67,21,8,3,2,1
58,1,1,1,0,0,1,0,1,18,1,1,0,0,0
135,0,4,1,2,15,2,1,4,10,39,6,4,3,1
16,1,2,1,0,1,0,0,2,0,7,1,1,2,0
94,0,3,3,1,2,5,1,3,75,10,7,3,4,1
57,0,9,5,0,5,2,0,5,12,21,15,4,6,1
124,1,8,1,2,14,6,1,6,13,38,8,3,2,1
103,1,7,8,0,8,7,1,3,53,6,8,3,7,1
43,1,1,0,0,2,0,0,1,6,10,0,1,2,0
72,1,4,1,2,5,2,0,2,55,60,10,3,2,1
99,0,3,6,1,13,3,1,3,63,21,4,2,4,1
20,1,1,0,0,2,1,0,1,15,8,0,1,2,0
124,1,10,7,2,13,5,0,3,16,24,9,4,3,1
37,1,1,1,0,2,1,0,1,4,3,1,1,1,0
151,1,5,3,2,10,3,0,2,12,27,5,5,3,1
54,1,1,0,0,1,0,0,1,5,1,0,1,1,0
23,1,3,1,0,3,0,0,2,10,5,3,1,1,0
74,1,7,6,2,8,4,0,6,18,41,9,1,7,1
15,1,3,0,0,0,0,0,1,4,4,0,1,2,0
109,1,10,3,0,10,2,1,3,77,50,9,3,5,1
177,0,3,3,2,4,6,0,4,22,20,9,1,1,1
109,0,7,3,1,3,4,0,2,50,38,14,3,3,1
41,1,1,1,0,0,1,0,2,12,6,1,0,2,0
18,1,1,1,0,0,1,0,2,20,8,3,1,0,0
153,0,6,2,2,10,4,1,3,65,56,9,4,7,1
46,1,2,0,0,1,0,0,2,11,3,3,0,2,0
33,1,2,0,0,1,0,0,1,6,9,1,1,2,0
116,0,5,1,0,6,3,0,6,53,18,8,4,8,1
44,1,3,0,0,2,0,0,1,6,2,0,0,0,0
53,0,6,3,1,10,2,1,2,44,50,3,2,5,1
52,1,3,1,0,1,1,0,2,11,8,1,0,1,0
59,1,1,1,0,0,1,0,1,0,9,3,0,0,0
99,1,9,8,1,8,8,0,5,55,39,9,4,7,1
43,1,2,1,0,3,1,0,2,19,6,0,1,1,0
161,1,9,8,2,2,5,0,4,76,56,11,1,2,1
53,1,1,1,0,2,0,0,2,15,7,1,0,1,0
107,0,9,1,2,8,5,0,4,11,29,5,3,5,1
34,1,1,1,0,3,1,0,1,5,4,1,1,1,0
26,1,3,1,0,1,0,0,1,11,1,1,1,2,0
47,1,3,0,0,2,0,0,1,11,3,2,1,2,0
98,1,3,5,2,9,8,1,2,19,6,5,1,4,1
82,0,8,4,0,10,5,1,3,17,43,15,6,7,1
110,1,3,6,1,2,6,0,4,68,9,14,2,6,1
129,1,3,1,0,3,4,1,3,20,5,8,2,6,1
56,0,8,8,1,7,8,1,4,16,18,6,5,3,1
83,0,7,3,1,9,4,1,3,59,7,10,5,5,1
82,0,6,1,1,14,8,1,6,24,46,13,1,1,1
28,1,1,1,0,3,1,0,2,20,5,1,0,1,0
152,0,7,2,0,5,8,1,4,73,44,5,3,3,1
42,1,3,1,0,1,1,0,1,20,5,1,1,0,0
50,1,1,1,0,1,0,0,2,12,10,2,0,1,0
21,1,2,0,0,3,0,0,2,18,8,1,0,0,0
52,1,1,1,0,1,0,0,1,1,8,2,1,2,0
45,1,2,1,0,1,1,0,2,7,9,0,0,1,0
55,1,3,0,0,1,0,0,2,0,7,2,1,1,0
164,1,10,1,0,8,8,1,5,21,12,13,2,5,1
30,1,1,0,0,0,0,0,1,12,4,3,0,2,0
15,1,3,1,0,0,0,0,2,17,1,2,0,2,0
91,1,7,2,1,10,7,1,6,10,18,8,3,5,1
46,1,1,0,0,3,1,0,1,16,1,1,0,1,0
45,1,1,0,0,0,1,0,1,18,4,1,0,0,0
45,1,3,0,0,1,1,0,1,11,4,1,1,2,0
71,0,6,8,1,9,5,1,6,36,12,9,6,6,1
23,1,3,0,0,2,0,0,1,12,7,3,1,1,0
66,0,7,1,2,15,8,0,6,11,28,3,6,1,1
72,1,5,7,2,6,2,1,6,15,57,7,1,6,1
57,0,3,5,0,13,6,0,6,20,52,13,5,4,1
153,1,6,2,1,11,6,1,6,37,16,8,4,1,1
102,1,3,1,0,10,4,0,4,43,18,12,1,3,1
138,0,5,5,2,13,4,0,6,53,48,12,2,6,1
37,1,2,0,0,1,1,0,1,0,7,0,1,1,0
26,1,2,1,0,3,0,0,2,10,9,0,1,2,0
94,1,8,5,1,4,2,1,6,21,56,7,4,1,1
42,1,3,0,0,3,0,0,2,20,0,1,0,0,0
156,1,9,8,1,12,5,1,5,74,16,3,6,8,1
120,1,6,7,0,14,3,1,2,37,19,13,5,3,1
34,1,1,1,0,1,0,0,2,7,8,2,0,0,0
127,1,10,6,0,12,3,1,2,32,47,7,4,7,1
57,1,2,1,0,0,0,0,2,11,6,2,1,0,0
28,1,1,0,0,2,1,0,2,14,7,2,0,0,0
20,1,2,0,0,1,1,0,2,12,9,0,1,0,0
165,0,5,7,0,8,7,0,3,72,26,13,5,4,1
180,1,9,4,2,10,8,0,2,72,38,8,2,4,1
31,1,1,0,0,2,0,0,2,19,9,2,0,1,0
58,1,2,0,0,3,1,0,1,4,8,1,0,1,0
154,1,9,1,2,3,2,0,3,12,27,11,3,6,1
18,1,1,1,0,2,1,0,1,9,5,2,0,0,0
143,1,3,7,2,9,4,0,3,59,50,6,2,4,1
104,0,10,7,0,8,5,0,6,68,51,8,1,2,1
149,1,4,4,0,6,2,0,2,54,46,12,3,2,1
160,1,9,4,2,12,6,1,2,63,7,13,5,2,1
57,1,2,1,0,1,0,0,1,9,3,2,0,0,0
55,1,6,2,2,7,3,1,4,43,49,10,1,4,1
68,1,8,1,0,2,7,1,4,39,38,4,5,1,1
171,1,5,4,1,5,8,1,5,12,21,9,3,5,1
109,0,9,8,0,2,3,1,2,28,20,5,6,5,1
66,1,3,5,2,5,8,0,6,17,20,8,1,5,1
28,1,1,0,0,1,1,0,2,17,6,3,0,0,0
116,0,5,5,0,6,8,1,2,43,60,11,6,5,1
42,1,2,1,0,1,0,0,2,15,1,0,1,1,0
44,1,2,1,0,3,1,0,2,18,10,3,0,0,0
146,0,4,6,0,13,6,0,5,45,37,11,2,6,1
150,0,10,3,2,15,5,0,3,46,26,9,1,1,1
90,0,3,7,1,2,3,0,4,31,29,13,2,1,1
54,1,9,6,2,7,3,0,6,10,16,8,5,4,1
96,0,7,1,0,13,4,0,4,66,7,9,1,8,1
144,1,8,2,1,14,3,0,2,75,41,12,5,1,1
43,1,2,1,0,3,0,0,2,19,5,2,1,1,0
121,1,5,1,1,14,7,1,5,79,16,11,4,8,1
123,0,10,7,1,6,7,1,3,53,37,8,5,6,1
46,1,2,0,0,2,0,0,1,0,6,3,0,2,0
24,1,2,0,0,2,1,0,1,19,6,0,0,2,0
77,1,10,5,2,4,5,0,2,68,28,10,5,5,1
16,1,2,1,0,2,0,0,2,11,1,0,0,0,0
59,1,2,0,0,2,1,0,2,0,9,2,0,0,0
67,1,4,6,1,2,7,1,6,32,14,6,5,8,1
56,1,1,1,0,0,0,0,2,14,6,0,1,1,0
36,1,1,1,0,1,1,0,2,3,1,0,0,2,0
118,1,4,2,0,8,5,1,6,29,16,12,5,3,1
69,1,4,8,1,11,8,1,3,28,6,12,2,1,1
158,0,10,1,2,12,6,1,3,25,13,11,5,3,1
32,1,1,0,0,1,0,0,2,9,0,0,1,2,0
26,1,2,0,0,3,1,0,1,8,7,2,0,2,0
85,1,7,4,2,12,3,1,6,20,36,3,6,8,1
157,0,7,8,0,2,2,0,2,13,21,10,2,7,1
47,1,2,1,0,2,0,0,1,17,10,0,1,1,0
104,0,6,5,0,5,8,1,2,76,27,13,1,6,1
58,1,1,1,0,0,1,0,1,18,2,1,0,2,0
103,0,7,7,0,6,2,1,2,43,34,9,5,4,1
74,1,8,6,1,15,5,0,5,56,14,6,6,5,1
99,1,5,5,0,5,3,0,6,54,9,8,5,7,1
45,1,3,0,0,3,1,0,2,13,5,2,1,1,0
31,1,1,0,0,2,0,0,1,11,7,0,1,2,0
103,1,3,6,0,11,7,1,2,43,9,7,1,7,1
51,1,3,1,0,2,0,0,1,14,9,0,0,2,0
56,0,6,5,1,10,7,1,3,11,18,14,2,5,1
134,0,8,2,0,8,2,1,5,36,8,4,4,2,1
16,1,1,1,0,1,1,0,2,4,2,1,1,1,0
170,0,4,1,1,13,8,1,6,24,54,6,2,7,1
141,0,7,4,1,14,4,1,2,46,42,8,5,3,1
152,1,6,4,1,12,4,1,6,41,28,11,5,8,1
53,1,1,0,0,2,1,0,2,20,0,3,0,2,0
57,1,5,1,1,15,5,1,2,17,30,10,6,3,1
36,1,2,0,0,0,0,0,1,2,8,1,1,0,0
39,1,3,0,0,3,0,0,2,3,6,0,1,2,0
174,1,10,1,2,6,2,1,2,40,52,7,5,2,1
52,0,5,8,0,2,7,1,5,30,8,7,4,6,1
69,1,5,5,1,11,3,0,5,35,22,7,1,7,1
45,1,3,1,0,2,0,0,1,3,6,3,0,1,0
48,1,2,1,0,2,1,0,2,8,1,1,1,0,0
52,1,3,1,0,3,1,0,2,4,5,2,1,1,0
137,1,7,4,2,8,2,1,4,62,50,15,1,3,1
29,1,3,1,0,2,1,0,1,20,6,3,0,1,0
20,1,1,1,0,0,0,0,1,14,5,3,0,2,0
15,1,1,0,0,1,1,0,2,4,4,0,1,1,0
28,1,3,1,0,3,1,0,1,1,7,3,1,1,0
56,1,3,1,0,3,1,0,2,8,9,1,0,1,0
69,0,10,8,1,4,6,0,5,31,44,4,2,1,1
37,1,1,0,0,3,0,0,2,13,10,1,1,0,0
73,0,7,5,0,10,4,0,5,10,39,13,5,3,1
140,1,3,8,0,14,8,1,2,51,5,3,1,3,1
85,0,4,6,1,6,7,0,6,22,34,9,6,1,1
52,1,3,0,0,2,0,0,1,2,10,1,0,2,0
